"행정구역","2014년12월_남자 평균연령","2014년12월_여자 평균연령","2014년12월_평균연령"
"서울특별시 동작구 상도제2동(1159054000)","39.3","41.2","40.3"
"서울특별시 동작구 상도제3동(1159055000)","39.8","42","40.9"
"서울특별시 동작구 상도제4동(1159056000)","39.3","41.7","40.5"
"서울특별시 동작구 흑석동(1159060500)","40.1","42.8","41.4"
"서울특별시 동작구 사당제1동(1159062000)","40","41.4","40.7"
"서울특별시 동작구 사당제2동(1159063000)","40.2","42","41.1"
"서울특별시 동작구 사당제3동(1159064000)","40.1","41.6","40.8"
"서울특별시 동작구 사당제4동(1159065000)","40.1","42.2","41.2"
"서울특별시 동작구 사당제5동(1159065100)","38.9","41.2","40"
"서울특별시 동작구 대방동(1159066000)","37.8","39.8","38.8"
"서울특별시 동작구 신대방제1동(1159067000)","38.7","40","39.3"
"서울특별시 동작구 신대방제2동(1159068000)","38.2","39.5","38.9"
"서울특별시 관악구 (1162000000)","39.3","41","40.1"
"서울특별시 관악구 보라매동(1162052500)","40","41.8","40.9"
"서울특별시 관악구 청림동(1162054500)","38.3","40.9","39.6"
"서울특별시 관악구 성현동(1162056500)","38.9","41.2","40.1"
"서울특별시 관악구 행운동(1162057500)","39","40.2","39.6"
"서울특별시 관악구 낙성대동(1162058500)","37.2","38.2","37.7"
"서울특별시 관악구 청룡동(1162059500)","39.3","40","39.6"
"서울특별시 관악구 은천동(1162060500)","38.8","40.6","39.7"
"서울특별시 관악구 중앙동(1162061500)","40.5","41.6","41.1"
"서울특별시 관악구 인헌동(1162062500)","38.2","39.8","39"
"서울특별시 관악구 남현동(1162063000)","38.8","39.6","39.2"
"서울특별시 관악구 서원동(1162064500)","38.9","40.8","39.8"
"서울특별시 관악구 신원동(1162065500)","40.3","42.6","41.5"
"서울특별시 관악구 서림동(1162066500)","38.5","41.2","39.7"
"서울특별시 관악구 신사동(1162068500)","39.4","40.9","40.1"
"서울특별시 관악구 신림동(1162069500)","37.4","37.3","37.3"
"서울특별시 관악구 난향동(1162071500)","38.4","40.6","39.5"
"서울특별시 관악구 조원동(1162072500)","40.8","41.6","41.2"
"서울특별시 관악구 대학동(1162073500)","38.3","40.6","39.2"
"서울특별시 관악구 삼성동(1162074500)","42.2","44.8","43.5"
"서울특별시 관악구 미성동(1162076500)","39.9","41.6","40.8"
"서울특별시 관악구 난곡동(1162077500)","40.4","42.5","41.4"
"서울특별시 서초구 (1165000000)","37.9","39.3","38.6"
"서울특별시 서초구 서초1동(1165051000)","38.5","39.5","39"
"서울특별시 서초구 서초2동(1165052000)","38","39.2","38.6"
"서울특별시 서초구 서초3동(1165053000)","39.4","41.2","40.3"
"서울특별시 서초구 서초4동(1165053100)","37.3","38.1","37.7"
"서울특별시 서초구 잠원동(1165054000)","36.8","38.4","37.6"
"서울특별시 서초구 반포본동(1165055000)","37.8","39.3","38.6"
"서울특별시 서초구 반포1동(1165056000)","36.7","37.9","37.3"
"서울특별시 서초구 반포2동(1165057000)","36.4","37.6","37"
"서울특별시 서초구 반포3동(1165058000)","36.6","38.5","37.6"
"서울특별시 서초구 반포4동(1165058100)","37.7","38.9","38.3"
"서울특별시 서초구 방배본동(1165059000)","38.7","39","38.9"
"서울특별시 서초구 방배1동(1165060000)","39.2","40.6","40"
"서울특별시 서초구 방배2동(1165061000)","39.8","41.2","40.5"
"서울특별시 서초구 방배3동(1165062000)","39.9","41.6","40.8"
"서울특별시 서초구 방배4동(1165062100)","38.8","39.1","39"
"서울특별시 서초구 양재1동(1165065100)","36.4","38.7","37.6"
"서울특별시 서초구 양재2동(1165065200)","37.8","39.3","38.5"
"서울특별시 서초구 내곡동(1165066000)","38.5","39.9","39.2"
"서울특별시 강남구 (1168000000)","37.9","39.5","38.8"
"서울특별시 강남구 신사동(1168051000)","39.5","40.4","39.9"
