"행정구역","2015년12월_전체세대","2015년12월_1인세대","2015년12월_2인세대","2015년12월_3인세대","2015년12월_4인세대","2015년12월_5인세대","2015년12월_6인세대","2015년12월_7인세대","2015년12월_8인세대","2015년12월_9인세대","2015년12월_10인세대"
"전라남도 진도군 (4690000000)","15,932","7,434","4,300","1,900","1,266","681","258","61","20","8","4"
"전라남도 신안군 (4691000000)","22,270","11,280","5,815","2,461","1,448","769","327","105","46","9","10"
"경상북도  (4700000000)","1,169,648","442,798","277,349","195,763","181,405","53,899","13,684","3,301","897","271","281"
"경상북도 포항시 (4711000000)","210,690","66,940","48,729","41,843","40,305","10,051","2,178","474","117","30","23"
"경상북도 경주시 (4713000000)","112,609","42,881","26,316","18,923","17,441","5,265","1,352","313","82","22","14"
"경상북도 김천시 (4715000000)","60,757","23,705","14,350","9,620","8,821","3,050","874","213","69","24","31"
"경상북도 안동시 (4717000000)","73,108","27,538","18,174","11,979","10,497","3,602","968","242","63","18","27"
"경상북도 구미시 (4719000000)","167,635","58,601","29,049","31,248","37,410","9,062","1,749","358","105","30","23"
"경상북도 영주시 (4721000000)","48,186","18,167","12,724","7,582","6,487","2,344","670","161","34","12","5"
"경상북도 영천시 (4723000000)","47,110","20,080","12,298","6,997","5,204","1,783","550","121","40","18","19"
"경상북도 상주시 (4725000000)","46,313","18,352","12,825","6,850","5,218","2,100","693","198","45","14","18"
"경상북도 문경시 (4728000000)","34,625","14,128","9,164","5,189","3,977","1,553","422","132","38","9","13"
"경상북도 경산시 (4729000000)","106,495","37,481","23,491","19,607","18,884","5,378","1,262","275","76","19","22"
"경상북도 군위군 (4772000000)","12,189","5,481","3,751","1,559","871","351","124","31","11","1","9"
"경상북도 의성군 (4773000000)","27,398","12,124","8,642","3,418","1,983","815","300","87","15","7","7"
"경상북도 청송군 (4775000000)","13,332","5,997","4,120","1,599","1,040","385","135","42","10","2","2"
"경상북도 영양군 (4776000000)","8,784","3,868","2,672","1,034","737","319","117","24","7","3","3"
"경상북도 영덕군 (4777000000)","20,039","9,538","5,595","2,470","1,570","616","176","47","17","6","4"
"경상북도 청도군 (4782000000)","21,493","9,764","5,963","2,903","1,809","694","277","54","14","7","8"
"경상북도 고령군 (4783000000)","16,218","6,911","4,402","2,290","1,685","643","204","57","18","3","5"
"경상북도 성주군 (4784000000)","21,444","9,489","5,704","2,959","1,976","849","296","119","34","9","9"
"경상북도 칠곡군 (4785000000)","53,174","21,495","10,553","8,861","9,040","2,494","535","126","38","16","16"
"경상북도 예천군 (4790000000)","21,395","9,053","6,492","2,735","1,868","825","296","83","29","8","6"
"경상북도 봉화군 (4792000000)","16,409","7,127","4,869","2,108","1,381","628","195","66","18","7","10"
"경상북도 울진군 (4793000000)","24,926","11,207","6,353","3,334","2,785","909","249","61","16","6","6"
"경상북도 울릉군 (4794000000)","5,319","2,871","1,113","655","416","183","62","17","1","0","1"
"경상남도  (4800000000)","1,367,142","462,491","299,809","249,212","259,270","73,966","16,709","3,979","1,040","332","334"
"경상남도 창원시 (4812000000)","415,872","126,556","84,515","83,406","91,892","23,415","4,659","1,042","235","83","69"
"경상남도 진주시 (4817000000)","138,231","45,339","30,518","25,628","26,124","8,228","1,833","403","110","23","25"
"경상남도 통영시 (4822000000)","59,015","21,257","14,050","10,500","9,270","2,938","737","174","53","21","15"
"경상남도 사천시 (4824000000)","50,520","19,574","11,987","8,298","7,445","2,440","588","136","31","12","9"
"경상남도 김해시 (4825000000)","197,865","55,699","38,118","40,185","47,902","12,529","2,624","559","156","54","39"
"경상남도 밀양시 (4827000000)","49,197","20,024","12,937","7,461","5,863","2,106","588","148","34","18","18"
"경상남도 거제시 (4831000000)","101,534","34,880","18,927","18,329","21,696","5,931","1,342","300","88","17","24"
"경상남도 양산시 (4833000000)","117,649","35,455","25,273","23,599","25,089","6,480","1,330","297","81","19","26"
"경상남도 의령군 (4872000000)","14,427","7,043","3,846","1,710","1,098","498","153","48","16","8","7"
"경상남도 함안군 (4873000000)","30,882","12,572","7,293","4,736","4,324","1,478","350","90","24","6","9"
"경상남도 창녕군 (4874000000)","30,378","13,066","8,540","4,178","2,927","1,155","359","97","26","14","16"
"경상남도 고성군 (4882000000)","25,883","11,354","6,559","3,617","2,767","1,125","325","95","23","8","10"
"경상남도 남해군 (4884000000)","22,236","9,577","6,633","2,914","1,907","831","282","68","12","3","9"
"경상남도 하동군 (4885000000)","23,603","10,422","6,292","3,072","2,219","1,017","359","146","47","12","17"
"경상남도 산청군 (4886000000)","18,083","8,624","4,872","2,168","1,455","644","204","72","26","7","11"
"경상남도 함양군 (4887000000)","19,363","8,702","5,216","2,413","1,811","835","263","80","28","8","7"
"경상남도 거창군 (4888000000)","27,895","10,784","7,353","4,148","3,556","1,486","401","127","25","9","6"
"경상남도 합천군 (4889000000)","24,509","11,563","6,880","2,850","1,925","830","312","97","25","10","17"
"제주특별자치도  (5000000000)","256,928","97,380","51,583","42,226","41,391","17,791","4,718","1,306","358","98","77"
"제주특별자치도 제주시 (5011000000)","185,874","68,382","35,996","31,413","32,067","13,357","3,406","905","240","56","52"
"제주특별자치도 서귀포시 (5013000000)","71,054","28,998","15,587","10,813","9,324","4,434","1,312","401","118","42","25"
